Product_ID,Current_Stock,Sales_Last_Week,Sales_Last_Month,Lead_Time_Days,Shelf_Life_Days,Seasonality_Index,Weather_Index,Economic_Index,Demand_Next_Week
101,870,53,850,27,244,0.8730461727324098,0.8837818401723627,1.0186649449780967,427
102,624,157,808,11,193,1.0501304815954495,0.9812714864404881,0.8744335934788006,51
103,133,78,123,17,269,1.3897627500276841,1.1101135836241987,0.8120065946522357,410
104,19,173,1297,23,98,1.3543285571235664,0.7654004417044311,1.0868853508247767,353
105,338,196,761,15,166,1.3890507140498813,0.8534136662539583,1.0019691871834395,302
106,196,193,1378,24,181,1.4398753135424671,1.1769762675613198,0.9447143378733668,105
107,552,16,1506,16,126,1.4377495520547896,1.1020736157717186,0.913815717002509,465
108,677,108,1592,4,187,1.3393494151177365,0.8597521140523514,1.1292177267198789,467
109,69,85,320,4,215,1.207696565101084,0.9388903247395364,1.1182125069332158,295
110,770,131,673,13,197,1.193084486646678,0.7718497924322298,1.1304201290171965,157
111,908,18,574,24,273,0.809043674243305,0.8518765642865918,0.8876419792075945,119
112,895,38,647,16,148,1.3057991876417874,1.2046911045728552,1.1407839664498236,391
113,960,52,1384,12,225,0.9586737006675348,0.9642463862450483,1.1942159949780073,311
114,791,65,1535,11,317,1.3800881932253772,1.0841757084514647,1.0396610754250246,272
115,451,39,1127,21,94,1.187662859611455,0.7958448824312845,0.818868417327937,146
116,226,123,948,16,191,1.4910735159291475,0.8099833983913312,1.0809061475869102,428
117,920,69,1302,19,114,0.9471914388730468,1.2645526717141617,1.015242751869643,292
118,11,63,379,26,88,1.3064257528588081,1.204860153781013,1.0848189231350296,310
119,545,40,106,15,311,1.1832736379565245,1.174198455503772,0.875294159886334,72
120,727,151,447,26,179,1.452264791215371,0.8977541702834924,1.0423195315344538,289
121,841,46,386,7,150,0.9861955957483379,1.0376535906219266,1.0156777374880732,35
122,720,73,362,15,298,0.8416063183063174,0.9954046370096693,1.0409963039677794,484
123,365,151,366,17,284,1.1807059433118967,1.2737383940383156,1.0910989945119636,28
124,635,111,1846,3,253,1.165129114728624,0.8437806581466057,1.0176867093494704,15
